8070223	die
2940563	van
2826305	het
2789394	en
2637382	in
2569800	'n
2413543	is
1679751	nie
1275327	te
1244362	wat
1127104	om
1044934	op
1043704	se
1009046	vir
979847	sy
972193	met
854893	dit
785421	hy
762673	word
690640	as
689828	dat
592026	aan
567888	was
531527	by
523905	of
504342	sal
477527	hulle
477183	the
477099	kan
457640	ek
444800	diÈ
433052	ons
421523	ook
420423	oor
419069	maar
388230	gesÍ
357947	deur
347402	na
330872	daar
329891	tot
314087	date
295715	moet
293755	hul
289099	gaan
279605	jaar
270651	toe
266882	haar
264899	teen
264745	sÍ
246839	meer
243674	uit
239914	jy
236609	my
225266	net
224824	p
222519	een
221233	mnr
212391	nog
207569	wees
207463	twee
205985	al
203138	soos
199079	and
198208	mense
196091	baie
195740	hom
190565	jou
189352	ander
184267	to
181937	nou
179829	a
173906	volgens
161897	eerste
160733	maak
155814	wil
154806	nuwe
150342	shy
149627	so
144559	groot
143042	onder
142684	gister
135612	begin
134756	n·
131646	suid-afrika
128089	kry
127549	waar
126110	kom
123714	burger
123556	laat
123181	weer
118811	voor
116593	verlede
114960	hoe
113957	nadat
111378	doen
110282	drie
109857	omdat
106709	datum
105780	tussen
104980	de
